Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy ISO3A Code,Reporting Economy,Partner Economy Code,Partner Economy ISO3A Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AGFO,Food,A,Annual,A,Annual,USM,Million US dollar,2020,,,,159881.8625
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AGFO,Food,A,Annual,A,Annual,USM,Million US dollar,2011,,,,75455.16563
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),AGFO,Food,A,Annual,A,Annual,USM,Million US dollar,2017,,,,113458.7517
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2019,,,,217670.8732
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2022,,,,262848.9351
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2018,,,,222399.4925
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2016,,,,163474.3822
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2020,,,,212155.6618
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2017,,,,192444.6492
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2013,,,,189642.24
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2014,,,,192442.226
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2015,,,,170698.6922
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2021,,,,261823.9726
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2012,,,,178570.832
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2010,,,,149416.781
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACH,Chemicals,A,Annual,A,Annual,USM,Million US dollar,2011,,,,180542.3208
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2020,,,,35805.06864
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2018,,,,28888.06656
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2021,,,,42634.64987
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2019,,,,34773.95261
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2014,,,,19068.845
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2015,,,,20314.92841
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2017,,,,26236.94917
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2013,,,,16200.429
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2010,,,,8030.463026
