Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy ISO3A Code,Reporting Economy,Partner Economy Code,Partner Economy ISO3A Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC33,Other (Other),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,1136.373109
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCA,Passenger (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,28202.25488
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCB,Freight (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,106740.1883
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,36310.06454
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2023,,,,196263.4072
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2022,,,,117682.5061
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE,Construction,A,Annual,A,Annual,USM,Million US dollar,2022,,,,7592.350899
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE,Construction,A,Annual,A,Annual,USM,Million US dollar,2023,,,,7870.674927
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SF,Insurance and pension services,A,Annual,A,Annual,USM,Million US dollar,2022,,,,20887.66731
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SF,Insurance and pension services,A,Annual,A,Annual,USM,Million US dollar,2023,,,,17267.21791
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SG,Financial services,A,Annual,A,Annual,USM,Million US dollar,2023,,,,3769.725677
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SG,Financial services,A,Annual,A,Annual,USM,Million US dollar,2022,,,,3744.252118
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SH,Charges for the use of intellectual property n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2022,,,,44425.80625
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SH,Charges for the use of intellectual property n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,52731.24337
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SI,"Telecommunications, computer, and information services",A,Annual,A,Annual,USM,Million US dollar,2022,,,,38032.7666
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SI,"Telecommunications, computer, and information services",A,Annual,A,Annual,USM,Million US dollar,2023,,,,38667.73444
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SI1,Telecommunications services,A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,2564.938602
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SI2,Computer services,A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,36102.79577
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SI3,Information services,A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,0
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SJ,Other business services,A,Annual,A,Annual,USM,Million US dollar,2022,,,,52460.17876
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SJ,Other business services,A,Annual,A,Annual,USM,Million US dollar,2023,,,,60635.31257
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SJ1,Research and development services,A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,11317.44736
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SJ2,Professional and management consulting services,A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,28978.87979
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SJ3,"Technical, trade-related, and other business services",A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,20338.98541
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SK,"Personal, cultural, and recreational services",A,Annual,A,Annual,USM,Million US dollar,2022,,,,2613.568825
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SK,"Personal, cultural, and recreational services",A,Annual,A,Annual,USM,Million US dollar,2023,,,,4032.874116
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SK1,Audiovisual and related services,A,Annual,A,Annual,USM,Million US dollar,2022,E,Estimate,,2613.568645
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SK1,Audiovisual and related services,A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,4032.873838
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SK2,"Other personal, cultural, and recreational services",A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,0
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SL,Memo item: Government goods and services n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2023,,,,2974.304359
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SL,Memo item: Government goods and services n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2022,,,,3602.795815
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SN,Services not allocated,A,Annual,A,Annual,USM,Million US dollar,2022,,,,19.999257
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SOX,Commercial services,A,Annual,A,Annual,USM,Million US dollar,2022,,,,461449.9112
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SOX,Commercial services,A,Annual,A,Annual,USM,Million US dollar,2023,,,,549020.8024
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SOX1,Other commercial services,A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,174735.0665
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SOX1,Other commercial services,A,Annual,A,Annual,USM,Million US dollar,2022,E,Estimate,,169776.59
