"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2012","","","","653457.409"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2011","","","","630916.659216"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2010","","","","549686.383616"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2022","","","","904547.586547"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2019","","","","788431.288078"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2020","","","","830353.218409"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2021","","","","1007806.012689"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2018","","","","841569.109644"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2013","","","","710751.636"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2014","","","","724875.4"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","A","Annual","A","Annual","USM","Million US dollar","2011","","","","69641.820055"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","A","Annual","A","Annual","USM","Million US dollar","2012","","","","73972.646"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","A","Annual","A","Annual","USM","Million US dollar","2018","","","","86825.051424"
