"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GSOX","Memo item: Goods and commercial services","A","Annual","A","Annual","USM","Million US dollar","2020","","","","2345533.2"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GSOX","Memo item: Goods and commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","2204405.4"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GSOX","Memo item: Goods and commercial services","A","Annual","A","Annual","USM","Million US dollar","2018","","","","2558051.8"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GSOX","Memo item: Goods and commercial services","A","Annual","A","Annual","USM","Million US dollar","2019","","","","2468585.5"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GSOX","Memo item: Goods and commercial services","A","Annual","A","Annual","USM","Million US dollar","2022","","","","3139692.2"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GSOX","Memo item: Goods and commercial services","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","3096523.5"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2020","","","","381087.719321"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","467589.371722"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2018","","","","525154.361713"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2019","","","","500680.070563"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2021","","","","426997.54345"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2022","","","","465052.707784"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2023","","","","551995.106725"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2020","","","","500.528236"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2017","","","","177.51925"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2018","","","","263.828525"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2019","","","","311.980919"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2021","","","","712.035973"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2022","","","","831.811354"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2023","","","","907.19372"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2023","","","","5862.695326"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2022","","","","4329.823105"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2021","","","","3817.222461"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2018","","","","2536.987702"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2019","","","","3653.264321"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","","","","2270.056169"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2020","","","","3358.273588"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2023","","","","171252.439608"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2022","","","","168829.180679"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2021","","","","133550.591119"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2019","","","","104722.718895"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2018","","","","108314.540222"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","","","","92945.045909"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2020","","","","94680.320319"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC1","Sea transport","A","Annual","A","Annual","USM","Million US dollar","2023","E","Estimate","","129018.07143"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC1","Sea transport","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","84606.968699"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC1","Sea transport","A","Annual","A","Annual","USM","Million US dollar","2018","E","Estimate","","78884.371064"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC1","Sea transport","A","Annual","A","Annual","USM","Million US dollar","2020","E","Estimate","","79333.784882"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC1","Sea transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","69905.548524"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC1","Sea transport","A","Annual","A","Annual","USM","Million US dollar","2019","E","Estimate","","72856.670396"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC11","Passenger (Sea)","A","Annual","A","Annual","USM","Million US dollar","2023","E","Estimate","","478.557121"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC12","Freight (Sea)","A","Annual","A","Annual","USM","Million US dollar","2023","E","Estimate","","96899.681281"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC13","Other (Sea)","A","Annual","A","Annual","USM","Million US dollar","2023","E","Estimate","","31639.918677"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC2","Air transport","A","Annual","A","Annual","USM","Million US dollar","2023","E","Estimate","","41097.977577"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC2","Air transport","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","39203.228995"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC2","Air transport","A","Annual","A","Annual","USM","Million US dollar","2020","E","Estimate","","14306.092356"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC2","Air transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","22735.533988"
